Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,4,6,Potential Loyalist
12347.0,2,7,4310.000000000001,4,4,4,12,Champions
12348.0,75,4,1797.24,2,3,4,9,Loyal Customers
12349.0,19,1,1757.5500000000002,3,1,4,8,Loyal Customers
12350.0,310,1,334.40000000000003,1,1,2,4,At Risk
12352.0,36,8,2506.0400000000004,3,4,4,11,Champions
12353.0,204,1,89.0,1,1,1,3,Hibernating
12354.0,232,1,1079.3999999999999,1,1,3,5,At Risk
12355.0,214,1,459.4,1,1,2,4,At Risk
12356.0,23,3,2811.43,3,3,4,10,Champions
12357.0,33,1,6207.67,3,1,4,8,Loyal Customers
12358.0,2,2,1168.06,4,2,3,9,Loyal Customers
12359.0,58,4,6372.58,2,3,4,9,Loyal Customers
12360.0,52,3,2662.06,2,3,4,9,Loyal Customers
12361.0,287,1,189.89999999999998,1,1,1,3,Hibernating
12362.0,3,10,5226.23,4,4,4,12,Champions
12363.0,110,2,552.0,2,2,2,6,Potential Loyalist
12364.0,8,4,1313.1000000000001,4,3,3,10,Champions
12365.0,291,2,641.3799999999999,1,2,2,5,At Risk
12367.0,4,1,168.89999999999998,4,1,1,6,Potential Loyalist
12370.0,51,4,3545.6899999999996,3,3,4,10,Champions
12371.0,45,2,1887.96,3,2,4,9,Loyal Customers
12372.0,72,3,1298.0400000000002,2,3,3,8,Loyal Customers
12373.0,311,1,364.6,1,1,2,4,At Risk
12374.0,25,1,742.93,3,1,3,7,Potential Loyalist
12375.0,11,2,457.5,4,2,2,8,Loyal Customers
12377.0,315,2,1628.12,1,2,3,6,Potential Loyalist
12378.0,130,1,4008.62,2,1,4,7,Potential Loyalist
12379.0,82,2,852.24,2,2,3,7,Potential Loyalist
12380.0,22,4,2724.8100000000004,3,3,4,10,Champions
12381.0,5,5,1845.3100000000004,4,3,4,11,Champions
12383.0,185,5,1850.5600000000002,1,3,4,8,Loyal Customers
12384.0,29,2,585.2700000000001,3,2,2,7,Potential Loyalist
12386.0,338,2,401.9,1,2,2,5,At Risk
12388.0,16,6,2780.6600000000003,4,4,4,12,Champions
12390.0,80,1,549.84,2,1,2,5,At Risk
12391.0,22,1,460.89,3,1,2,6,Potential Loyalist
12393.0,72,4,1582.6000000000001,2,3,3,8,Loyal Customers
12394.0,64,2,1272.48,2,2,3,7,Potential Loyalist
12395.0,19,12,3018.63,3,4,4,11,Champions
12397.0,36,2,2409.9000000000005,3,2,4,9,Loyal Customers
12398.0,46,1,1635.6599999999999,3,1,3,7,Potential Loyalist
12399.0,119,4,1108.65,2,3,3,8,Loyal Customers
12401.0,303,1,84.3,1,1,1,3,Hibernating
12402.0,323,1,225.6,1,1,1,3,Hibernating
12403.0,50,1,427.7,3,1,2,6,Potential Loyalist
12405.0,149,1,1710.3900000000003,1,1,4,6,Potential Loyalist
12406.0,22,2,3415.3,3,2,4,9,Loyal Customers
12407.0,50,5,1708.1199999999997,3,3,4,10,Champions
12408.0,33,5,2888.55,3,3,4,10,Champions
12409.0,79,3,11072.67,2,3,4,9,Loyal Customers
12410.0,309,2,693.3299999999999,1,2,3,6,Potential Loyalist
12412.0,75,3,1226.88,2,3,3,8,Loyal Customers
12413.0,67,3,758.1,2,3,3,8,Loyal Customers
12414.0,217,3,562.41,1,3,2,6,Potential Loyalist
12415.0,24,21,124914.53,3,4,4,11,Champions
12417.0,3,9,3649.1000000000004,4,4,4,12,Champions
12418.0,113,1,668.58,2,1,2,5,At Risk
12420.0,64,1,600.3900000000001,2,1,2,5,At Risk
12421.0,16,4,807.0400000000001,4,3,3,10,Champions
12422.0,96,3,803.5599999999998,2,3,3,8,Loyal Customers
12423.0,1,8,1859.31,4,4,4,12,Champions
